testName,graphID,strength,criteria,noOfNodes,noOfEdges,entitySetGenerationTime,noOfEntities,testSuiteSize,testSuiteGenerationTime,totalPathLength,averagePathLength
Test-1-1,0,2,t*_cover,88,178,0.0056350231,6033,27,28.4065300624,2395.33333333,88.7160493826
Test-1-1,1,2,t*_cover,16,18,0.00030303,243,3.3333333333,1.5265086492,90.3333333333,27.1
Test-1-1,2,2,t*_cover,241,632,0.0414030552,57756,358.333333333,3414.29420129,68159,190.2111627909
Test-1-1,3,2,t*_cover,83,193,0.004680872,6917,24,23.2094006538,2733.66666667,113.9027777779
Test-1-1,4,2,t*_cover,14,23,0.0001881123,143,9.3333333333,4.6698656082,142.666666667,15.2857142858
Test-1-10,0,2,t*_cover,16,20,0.0001821518,146,5.6666666667,4.5095526377,87.6666666667,15.4705882353
Test-1-10,1,2,t*_cover,16,18,0.0002150536,243,2.3333333333,1.0898100535,93.3333333333,40
Test-1-10,2,2,t*_cover,74,163,0.0033049583,4582,20.6666666667,20.6072646777,1771.66666667,85.7258064516
Test-1-10,3,2,t*_cover,10,17,0.00009799,77,6.3333333333,3.2746233145,72,11.3684210526
Test-1-11,0,2,t*_cover,15,19,0.0001721382,131,5.6666666667,4.1595616341,82.3333333333,14.5294117647
Test-1-11,1,2,t*_cover,18,21,0.0002667904,310,4.3333333333,2.2408393224,124,28.6153846154
Test-1-11,2,2,t*_cover,80,183,0.0036268234,5374,21,21.2589893341,2159.33333333,102.8253968252
Test-1-11,3,2,t*_cover,10,17,0.00009799,77,6.6666666667,3.2197736104,70.3333333333,10.55
Test-1-12,0,2,t*_cover,14,16,0.0001790524,112,4.3333333333,3.6160478592,63.3333333333,14.6153846154
Test-1-12,1,2,t*_cover,18,21,0.0002539158,293,5.3333333333,2.7030673822,126.333333333,23.6875
Test-1-12,2,2,t*_cover,232,595,0.0348858833,53498,119.666666667,1685.84209768,28505.3333333,238.2061281328
Test-1-12,3,2,t*_cover,69,142,0.0025448799,3881,19,17.0883133412,1652.66666667,86.9824561405
Test-1-12,4,2,t*_cover,10,17,0.0001068115,77,5,3.3299585978,57,11.4
Test-1-13,0,2,t*_cover,45,62,0.0011529922,1363,14.6666666667,11.9562833309,717.333333333,48.909090909
Test-1-13,1,2,t*_cover,73,150,0.0039288998,5334,36.6666666667,27.3008616765,3003.66666667,81.9181818182
Test-1-13,2,2,t*_cover,42,72,0.0012228489,1753,19.3333333333,13.5291919708,1098,56.7931034484
Test-1-13,3,2,t*_cover,90,196,0.006937027,7856,33.6666666667,33.3453366756,3735.66666667,110.9603960396
Test-1-13,4,2,t*_cover,10,17,0.0001239777,77,6,3.0103092988,69.3333333333,11.5555555556
Test-1-14,0,2,t*_cover,37,48,0.0007450581,726,10.3333333333,16.6414043108,373.333333333,36.1290322581
Test-1-14,1,2,t*_cover,18,21,0.0002720356,310,3.3333333333,1.54839468,111,33.3
Test-1-14,2,2,t*_cover,238,627,0.0410487652,56326,113.333333333,1087.15923063,28905.3333333,255.047058824
Test-1-14,3,2,t*_cover,88,213,0.0049800873,7782,28.3333333333,29.0969349543,3332,117.6000000001
Test-1-14,4,2,t*_cover,10,17,0.000125885,77,6.3333333333,3.1271999677,66,10.4210526316
Test-1-2,0,2,t*_cover,13,15,0.0001513958,99,5.3333333333,4.2089564006,68.6666666667,12.875
Test-1-2,1,2,t*_cover,21,28,0.0003561974,428,11,5.2951789697,349,31.7272727273
Test-1-2,2,2,t*_cover,227,620,0.0340168476,51248,158,1347.45507328,41029,259.6772151899
Test-1-2,3,2,t*_cover,70,150,0.0027658939,4011,21.6666666667,18.6069536209,1688,77.9076923076
Test-1-2,4,2,t*_cover,10,17,0.0001020432,77,5.3333333333,2.6291766961,59,11.0625
Test-1-3,0,2,t*_cover,81,165,0.0049850941,5246,26.3333333333,25.852083683,2437,92.5443037976
Test-1-3,1,2,t*_cover,16,18,0.0002880096,243,3.3333333333,1.488833348,88,26.4
Test-1-3,2,2,t*_cover,225,573,0.0320968628,50305,122.333333333,1153.46564063,27883.6666667,227.9318801099
Test-1-3,3,2,t*_cover,79,152,0.003800869,6008,27.3333333333,20.2952553431,2727.33333333,99.7804878049
Test-1-3,4,2,t*_cover,11,18,0.0001232624,87,7,3.894812425,81.6666666667,11.6666666667
Test-1-4,0,2,t*_cover,13,15,0.0001671314,99,4.6666666667,3.6824720701,60,12.8571428571
Test-1-4,1,2,t*_cover,21,28,0.0003380775,428,8.3333333333,4.0825556119,305,36.6
Test-1-4,2,2,t*_cover,75,168,0.0056180954,4669,15.6666666667,15.3960315387,1336,85.2765957445
Test-1-4,3,2,t*_cover,10,17,0.0001049042,77,5.3333333333,2.6567642689,62,11.625
Test-1-5,0,2,t*_cover,13,15,0.0001590252,99,4.3333333333,3.355621179,55.6666666667,12.8461538462
Test-1-5,1,2,t*_cover,15,16,0.000136137,110,4,6.0957506498,59,14.75
Test-1-5,2,2,t*_cover,69,142,0.0026547909,3881,19,16.9975190957,1613,84.8947368421
Test-1-5,3,2,t*_cover,10,17,9.58442687988E-05,77,6.6666666667,3.4298383395,79.3333333333,11.9
Test-1-6,0,2,t*_cover,13,15,0.0001599789,99,3.3333333333,3.2982595762,46.3333333333,13.9
Test-1-6,1,2,t*_cover,18,21,0.0002608299,310,5.6666666667,2.7511994044,154.666666667,27.2941176471
Test-1-6,2,2,t*_cover,82,185,0.0039641857,5666,22,23.2753649553,2153.33333333,97.8787878786
Test-1-6,3,2,t*_cover,10,17,0.0001120567,77,4.6666666667,2.3912142913,64,13.7142857143
Test-1-7,0,2,t*_cover,15,19,0.0002222061,131,6,4.4501039187,91,15.1666666667
Test-1-7,1,2,t*_cover,17,20,0.0002379417,276,6.3333333333,3.1523844401,230,36.3157894737
Test-1-7,2,2,t*_cover,218,550,0.0348248482,47209,110,998.038436255,24486.3333333,222.6030303027
Test-1-7,3,2,t*_cover,80,184,0.0034601688,5375,20.3333333333,23.3997093042,1919.33333333,94.3934426229
Test-1-7,4,2,t*_cover,10,17,0.0001008511,77,5.3333333333,2.8254526456,58,10.875
Test-1-8,0,2,t*_cover,37,48,0.000787735,726,9,14.1493192514,331.666666667,36.8518518519
Test-1-8,1,2,t*_cover,18,21,0.0002732277,310,6,2.7274926504,155.666666667,25.9444444445
Test-1-8,2,2,t*_cover,236,614,0.0365862846,55373,107.333333333,1077.34220966,28715.6666667,267.5372670819
Test-1-8,3,2,t*_cover,84,198,0.0045919418,7087,23,22.5768873692,2520.66666667,109.5942028987
Test-1-8,4,2,t*_cover,10,17,0.0001380444,77,6.6666666667,3.237045447,74,11.1
Test-1-9,0,2,t*_cover,13,15,0.0001580715,99,4.3333333333,3.3194923401,57,13.1538461539
Test-1-9,1,2,t*_cover,16,18,0.0002198219,243,3.3333333333,1.5051542918,105.666666667,31.7000000001
Test-1-9,2,2,t*_cover,75,168,0.0033769608,4669,24,21.6496273676,2083.66666667,86.8194444446
Test-1-9,3,2,t*_cover,10,17,0.0001149178,77,7.6666666667,4.0260345936,80.6666666667,10.5217391304
Test-103-1,0,2,t*_cover,93,196,0.0061061382,7788,61.6666666667,65.6525367101,5195.66666667,84.2540540541
Test-103-1,1,2,t*_cover,3,2,3.83853912354E-05,3,1,0.8598986467,2,2
